   flips   |   errors   
 [0,  1,  1,  0,  1,  1,  1,  0,  0,  0,  1,  1] | [13,  46] 
 [0,  1,  0,  0,  1,  1,  0,  0,  1,  1,  1,  1] | [9,  43] 
 [0,  0,  1,  1,  0,  0,  0,  0,  1,  1,  1,  0] | [16,  38] 
 [1,  0,  1,  0,  0,  0,  1,  1,  1,  1,  1,  0] | [17,  37] 
 [1,  0,  1,  0,  1,  0,  1,  1,  1,  1,  0,  1] | [11,  48] 
 [0,  1,  1,  0,  1,  0,  1,  0,  1,  0,  1,  0] | [16,  32] 
 [1,  0,  1,  1,  1,  1,  1,  0,  1,  0,  0,  1] | [13,  34] 
 [1,  0,  1,  0,  1,  1,  0,  1,  1,  1,  0,  0] | [9,  39] 
 [1,  0,  0,  0,  0,  0,  1,  1,  1,  1,  0,  1] | [12,  33] 
 [1,  0,  1,  0,  0,  1,  0,  1,  1,  1,  0,  0] | [13,  38] 
 [0,  1,  1,  1,  0,  0,  0,  0,  0,  1,  0,  0] | [12,  30] 
 [1,  0,  1,  1,  0,  0,  1,  1,  1,  1,  0,  1] | [13,  42] 
 [0,  0,  0,  0,  0,  0,  1,  0,  0,  1,  1,  0] | [8,  25] 
 [0,  1,  0,  1,  1,  1,  0,  1,  0,  1,  1,  0] | [12,  39] 
 [0,  0,  0,  1,  1,  0,  1,  0,  0,  0,  0,  0] | [12,  36] 
